"Date","Open","High","Low","Close"
"15 Nov 2018","6266.7","6278.15","6212.65","6269.35"
"14 Nov 2018","6310.25","6315.05","6230.95","6262.15"
"13 Nov 2018","6237.3","6282.1","6190.65","6275.10"
"12 Nov 2018","6332.6","6340.5","6246.3","6254.40"
"09 Nov 2018","6274.85","6330.45","6235","6325.05"
"07 Nov 2018","6242.6","6269.05","6233.4","6261.70"
"06 Nov 2018","6246.5","6261","6167.2","6192.65"
"05 Nov 2018","6267.7","6284.7","6176.3","6218.45"
"02 Nov 2018","6233.5","6310.7","6228.95","6242.95"
"01 Nov 2018","6092.2","6189.65","6088.95","6162.40"
"31 Oct 2018","6003.1","6070.75","5938.25","6062.60"
"30 Oct 2018","5909.4","6012.75","5901.55","5977.45"
"29 Oct 2018","5793.45","5904.8","5741.1","5892.15"
"26 Oct 2018","5757.65","5788.55","5669.85","5747.95"
"25 Oct 2018","5799.35","5822","5746.75","5784.20"
"24 Oct 2018","5864.65","5902.8","5804.45","5859.85"
"23 Oct 2018","5808.75","5859.1","5751.9","5802.75"
"22 Oct 2018","6030.4","6038.6","5862.5","5874.10"
"19 Oct 2018","6018.6","6081","5938.25","5993.25"
"17 Oct 2018","6318.3","6340.9","6059.55","6069.55"
"16 Oct 2018","6165.4","6245.65","6162.7","6233.65"
"15 Oct 2018","6075.3","6123.45","6027.2","6111.35"
"12 Oct 2018","5927.65","6044.15","5924.9","6024.75"
"11 Oct 2018","5793.85","5942.9","5753.95","5863.00"
"10 Oct 2018","5792.95","5998.85","5791.95","5989.20"
"09 Oct 2018","5792.6","5824.8","5684.55","5756.30"
"08 Oct 2018","5886.35","5914.35","5694.5","5770.20"
"05 Oct 2018","6035.9","6088.2","5878.7","5911.65"
"04 Oct 2018","6105.15","6149.8","6008.6","6059.45"
"03 Oct 2018","6165.3","6297.75","6111.75","6195.45"
"01 Oct 2018","6126.85","6179.2","5936.65","6166.75"
"28 Sep 2018","6488.9","6495","6109","6150.95"
"27 Sep 2018","6657.55","6668.6","6469.4","6480.75"
"26 Sep 2018","6685.75","6713.15","6623.15","6647.95"
"25 Sep 2018","6700.55","6716.55","6523.6","6642.35"
"24 Sep 2018","6928.05","6930.9","6699.85","6722.45"
"21 Sep 2018","7211.65","7229.95","6644.15","6902.25"
"19 Sep 2018","7277.25","7291.25","7129.1","7167.05"
"18 Sep 2018","7417.2","7443.8","7239.5","7246.95"
"17 Sep 2018","7374.85","7431.65","7330.15","7400.80"
"14 Sep 2018","7339.3","7399.25","7339.3","7388.35"
"12 Sep 2018","7319.3","7321.15","7181.25","7281.40"
"11 Sep 2018","7455.45","7467.45","7303.95","7313.50"
"10 Sep 2018","7512.9","7540.5","7415.9","7427.65"
"07 Sep 2018","7498.25","7530.95","7447.6","7520.20"
"06 Sep 2018","7469.85","7492.65","7409.8","7482.25"
"05 Sep 2018","7441.4","7462.7","7327.35","7435.15"
"04 Sep 2018","7666.75","7672.6","7432.45","7453.90"
"03 Sep 2018","7709.3","7745.15","7640.1","7651.80"
"31 Aug 2018","7654.95","7689.4","7620.15","7668.95"
"30 Aug 2018","7633.25","7653.7","7610.75","7642.25"
"29 Aug 2018","7608.6","7647.1","7597.15","7605.55"
"28 Aug 2018","7629.4","7640.85","7585.45","7597.70"
"27 Aug 2018","7566.25","7606.55","7565.4","7589.75"
"24 Aug 2018","7552.85","7585.1","7494","7532.30"
"23 Aug 2018","7608.75","7615.55","7528","7554.10"
"21 Aug 2018","7568.4","7598.35","7533.5","7587.20"
"20 Aug 2018","7542.4","7562.4","7529.3","7549.85"
"17 Aug 2018","7489.4","7534.2","7479.8","7522.50"
"16 Aug 2018","7478","7527.4","7425.15","7449.30"
"14 Aug 2018","7476.55","7519.75","7464.8","7492.85"
"13 Aug 2018","7471.6","7518.05","7415.75","7463.65"
"10 Aug 2018","7629.2","7632.7","7521.7","7537.30"
"09 Aug 2018","7579.65","7639.9","7578.45","7623.85"
"08 Aug 2018","7541.5","7594.1","7528.4","7555.30"
"07 Aug 2018","7619.8","7626.85","7520.9","7532.45"
"06 Aug 2018","7620.8","7646.15","7588.8","7597.35"
"03 Aug 2018","7513.8","7583.05","7513.7","7581.75"
"02 Aug 2018","7484.25","7509.4","7410.4","7475.60"
"01 Aug 2018","7483.75","7516.1","7433.15","7468.25"
"31 Jul 2018","7443.1","7474.3","7425.6","7465.75"
"30 Jul 2018","7425.65","7457.3","7404.05","7437.85"
"27 Jul 2018","7337.95","7410.65","7331.6","7402.85"
"26 Jul 2018","7291.9","7326.55","7282.55","7318.80"
"25 Jul 2018","7281.7","7309.9","7259.5","7274.75"
"24 Jul 2018","7110.45","7256.5","7091.35","7246.80"
"23 Jul 2018","7059.3","7088.3","6997.1","7082.05"
"20 Jul 2018","6981.4","7036.2","6945.65","7030.75"
"19 Jul 2018","7039.7","7043.5","6923.4","6976.50"
"18 Jul 2018","7150.3","7178.35","6959.85","7018.45"
"17 Jul 2018","6976.15","7103.6","6938.5","7097.45"
"16 Jul 2018","7201.05","7201.05","6969.35","6984.00"
"13 Jul 2018","7384.45","7391.8","7198.2","7206.25"
"12 Jul 2018","7448.05","7484.55","7365.4","7395.80"
"11 Jul 2018","7439.85","7461.35","7390.05","7409.00"
"10 Jul 2018","7382.45","7451.1","7382.45","7446.40"
"09 Jul 2018","7284.95","7353","7280.95","7345.15"
"06 Jul 2018","7163.95","7255.65","7157.95","7222.90"
"05 Jul 2018","7223","7229.25","7151.9","7161.65"
"04 Jul 2018","7186.1","7215.35","7155.25","7212.10"
"03 Jul 2018","7126.95","7186.8","7076.25","7180.50"
"02 Jul 2018","7214.65","7222.2","7063.75","7130.25"
"29 Jun 2018","7071.1","7185.45","7070.8","7177.75"
"28 Jun 2018","7151.5","7151.6","6999.1","7011.75"
"27 Jun 2018","7331.25","7336.25","7093.5","7152.35"
"26 Jun 2018","7366.65","7393.05","7309.35","7318.25"
"25 Jun 2018","7431.9","7492.3","7380.25","7387.10"
"22 Jun 2018","7409.05","7440.35","7371.4","7433.20"
"21 Jun 2018","7500.4","7508.45","7408.95","7415.25"
"20 Jun 2018","7467.1","7510.8","7447.5","7495.70"
"19 Jun 2018","7541.05","7549","7429.5","7454.60"
"18 Jun 2018","7624.9","7634.1","7555.85","7566.55"
"15 Jun 2018","7712.95","7747","7614.05","7629.20"
"14 Jun 2018","7708.65","7721.25","7665.8","7710.40"
"13 Jun 2018","7748.4","7787.7","7704.85","7710.20"
"12 Jun 2018","7696.15","7731.5","7687.1","7726.70"
"11 Jun 2018","7682.05","7741.2","7667.15","7673.70"
"08 Jun 2018","7575.45","7667.15","7542.65","7658.10"
