Date,Open,High,Low,Close,change,lookback_mean,lookback_std
2002-07-05,1071.0,1076.2,1067.45,1073.8,0.0030826716487622184,-0.0004854448502677538,0.016809991161875447
2002-07-08,1074.0,1085.3,1072.9,1082.0,0.007636431365244967,-0.00047253248744499914,0.016799723628836888
2002-07-09,1081.9,1083.65,1077.55,1080.3,-0.0015711645101664006,-0.0004742763477985252,0.016786421071436956
2002-07-10,1081.55,1087.4,1069.45,1071.7,-0.00796075164306203,-0.00048614080943919637,0.016775740797454874
2002-07-11,1070.95,1070.95,1055.3,1056.6,-0.014089763926472086,-0.0005076655295610838,0.016771174505943905
2002-07-12,1057.1,1064.9,1054.9,1058.2,0.0015142911224684237,-0.0005044712852450815,0.016758093621703385
2002-07-15,1057.95,1058.45,1043.3,1048.0,-0.00963900963900968,-0.0005188790744466029,0.0167487807078501
2002-07-16,1047.9,1051.85,1033.95,1035.9,-0.01154580152671747,-0.0005362443066549035,0.016741286601991787
2002-07-17,1035.95,1037.5,1025.0,1032.5,-0.0032821700936384694,-0.0005405618000306637,0.016728453648242637
2002-07-18,1032.55,1044.0,1032.55,1041.3,0.008523002421307461,-0.0005263332847695364,0.01671915430567731
2002-07-19,1041.35,1041.5,1032.25,1035.9,-0.005185825410544381,-0.000533636563963541,0.01670704424706843
2002-07-22,1035.2,1035.2,1009.0,1012.0,-0.023071725069987538,-0.0005689074379948775,0.016717738036015048
2002-07-23,1012.05,1023.65,1005.75,1021.9,0.009782608695652152,-0.000552733194036054,0.016709662407390437
2002-07-24,1021.8,1022.2,1001.9,1004.0,-0.0175163910363049,-0.0005791975588445857,0.01671004129769936
2002-07-25,1004.2,1021.3,997.85,1001.5,-0.00249003984063745,-0.0005821739486916151,0.01669717216803345
2002-07-26,1001.05,1001.05,972.55,973.5,-0.027958062905641536,-0.0006247492036790955,0.01671905598015019
2002-07-29,973.0,977.95,953.15,971.65,-0.001900359527478195,-0.0006267299650514544,0.01670612572185274
2002-07-30,973.0,987.5,956.8,960.65,-0.011320948901353368,-0.0006433101494488216,0.016698460168271173
2002-07-31,960.3,964.1,943.6,958.9,-0.001821683235309426,-0.0006451342563928783,0.016685575015752827
2002-08-01,959.2,972.05,954.15,957.7,-0.001251433934716792,-0.0006460713501769956,0.016672672520909627
2002-08-02,957.55,957.55,935.55,954.75,-0.0030802965438029082,-0.0006498278705375294,0.016660057375956265
2002-08-05,954.9,966.5,953.9,963.25,0.008902854150301126,-0.0006351087919229861,0.016651420028163583
2002-08-06,963.3,969.55,955.4,966.65,0.0035297171035556475,-0.0006287013674684035,0.01663938846786425
2002-08-07,967.7,978.6,966.55,969.1,0.00253452645735276,-0.0006238423385516276,0.016627046223242264
2002-08-08,969.15,971.75,951.2,953.55,-0.01604581570529364,-0.0006474956719362012,0.016625245246234693
2002-08-09,953.8,963.85,948.0,961.95,0.008809186723297249,-0.0006330137693401316,0.01661661234254285
2002-08-12,961.15,971.55,961.15,969.85,0.008212485056395838,-0.0006194885417778442,0.016607486483013145
2002-08-13,970.4,977.2,969.9,976.05,0.006392741145537899,-0.0006087828475987362,0.016597046495409953
2002-08-14,976.05,976.25,967.25,969.65,-0.006557041135187723,-0.0006178503145005487,0.0165859981733662
2002-08-16,970.75,981.2,968.35,979.25,0.009900479554478444,-0.0006018406799967755,0.01657843108916711
2002-08-19,979.4,983.55,978.2,979.85,0.0006127138115905262,-0.0005999948525019621,0.016565877183254654
2002-08-20,979.75,990.85,979.05,988.55,0.00887891003725053,-0.0005856110818043103,0.016557402120482116
2002-08-21,988.6,994.25,984.35,988.45,-0.0001011582621009651,-0.0005848770623805173,0.016544845577020188
2002-08-22,988.55,995.3,983.45,985.7,-0.002782133643583388,-0.0005882012024428514,0.016532527750772474
2002-08-23,985.75,996.4,984.7,995.2,0.009637820837983159,-0.000572754039239791,0.016524797589930453
2002-08-26,992.4,1001.45,986.15,998.85,0.003667604501607694,-0.0005663583250002021,0.01651313309674203
2002-08-27,998.85,1003.3,985.7,987.7,-0.011162837262852257,-0.0005823168776174491,0.01650579842690274
2002-08-28,987.35,988.1,981.1,985.7,-0.0020249063480814013,-0.000584486185091831,0.01649345954746785
2002-08-29,985.85,989.4,981.45,987.25,0.0015724865577761535,-0.0005812474872797169,0.016481265716870884
2002-08-30,987.65,1012.75,986.7,1010.6,0.023651557356292756,-0.0005449164455352305,0.016495595370855248
2002-09-02,1010.9,1024.65,1010.85,1013.5,0.0028695824262813946,-0.00053980492027802,0.016483754636391495
2002-09-03,1013.65,1014.8,999.4,1001.1,-0.012234829797730613,-0.0005572862728601614,0.01647761675823292
2002-09-04,1000.7,1008.8,990.85,1006.9,0.005793627010288637,-0.0005478072978106856,0.01646712503335989
2002-09-05,1006.9,1013.45,1004.2,1008.6,0.0016883503823617494,-0.0005444747230265239,0.01645505798668358
2002-09-06,1008.45,1008.45,992.7,995.2,-0.013285742613523673,-0.0005634349431016685,0.01645013617379139
2002-09-09,992.05,1005.85,985.25,998.55,0.0033661575562700047,-0.0005575960240832857,0.01643858983459723
2002-09-11,998.6,1002.35,993.35,998.85,0.0003004356316659839,-0.0005563229800836576,0.016426405623535086
2002-09-12,998.95,1005.15,998.8,1001.6,0.0027531661410622214,-0.0005514200332375156,0.016414709606237404
2002-09-13,1001.4,1001.4,989.85,992.0,-0.009584664536741236,-0.000564782820964592,0.016406225233982837
2002-09-16,991.75,997.0,983.55,985.75,-0.006300403225806451,-0.0005732549338225563,0.016395567916939285
2002-09-17,985.75,996.8,985.75,994.9,0.009282272381435433,-0.0005587187578413499,0.016387826017276792
2002-09-18,994.15,994.15,981.6,983.6,-0.01135792541964012,-0.0005746233331900963,0.016380979547409417
2002-09-19,983.45,985.25,970.8,976.05,-0.007675884505896775,-0.0005850663643264297,0.01637117759876717
