AMC,Scheme Name,Scheme,Scheme Type,Date,Date
,,,,min,max
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 30 - Direct Plan-Growth,Close Ended Schemes,Income,2016-03-18,2019-04-22
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund - Series 30 - Regular Plan-Growth,Close Ended Schemes,Income,2016-03-18,2019-04-22
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Capital Protection Oriented Fund-Series 9-Growth,Close Ended Schemes,Income,2012-03-30,2015-04-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Cash Plus-Institutional - Fortnightly Dividend,Open Ended Schemes,Debt Scheme - Liquid Fund,2009-01-01,2011-02-11
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Cash Plus-Institutional Premium - Fortnightly Dividend,Open Ended Schemes,Debt Scheme - Liquid Fund,2009-01-01,2011-02-16
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Cash Plus-Institutional Premium Plan-Monthly Dividend,Open Ended Schemes,Debt Scheme - Liquid Fund,2009-01-01,2011-02-15
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Direct Plan,Open Ended Schemes,Debt Scheme - Gilt Fund,2013-01-02,2018-06-01
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Growth - Regular Plan,Open Ended Schemes,Debt Scheme - Gilt Fund,2009-01-01,2018-06-01
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Direct Plan,Open Ended Schemes,Debt Scheme - Gilt Fund,2013-01-03,2018-06-01
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Constant Maturity 10 Year Gilt Fund - Quarterly Dividend - Regular Plan,Open Ended Schemes,Debt Scheme - Gilt Fund,2009-01-01,2018-06-01
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Corporate Bond Fund - Discipline Advantage Plan,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,2009-03-18,2018-05-30
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,2013-01-02,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Corporate Bond Fund - Growth - Regular Plan,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,2009-01-01,2022-10-07
Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Corporate Bond Fund -DIRECT - IDCW,Open Ended Schemes,Debt Scheme - Corporate Bond Fund,2013-10-01,2022-10-07
