Scheme Code,Scheme Name,startDate,endDate
100485,Franklin India Govt.Sec. Fund-Composite Plan - Growth,2009-01-01,2018-06-04
100486,Franklin India Govt.Sec. Fund-Composite Plan - Dividend,2009-01-01,2018-06-04
100487,Franklin India Govt.Sec. Fund-Treasury Plan(Dividend Option),2009-01-01,2014-07-28
100489,Franklin India Govt.Sec. Fund-Treasury Plan(Growth Option),2009-01-01,2014-07-28
100490,Franklin India Govt.Sec. Fund-PF Plan - Growth,2009-01-01,2018-06-04
100491,Franklin India Govt.Sec. Fund-PF Plan - Dividend,2009-01-01,2018-06-04
100493,Franklin India Government Securities Fund - Growth,2009-01-01,2022-10-07
100494,Franklin India Government Securities Fund - IDCW ,2009-01-01,2022-10-07
100495,Franklin India Govt.Sec. Fund-Long Term Plan - Bonus,2009-01-01,2015-06-08
100496,Templeton India Value Fund - Growth Plan,2009-01-01,2022-10-07
100497,Templeton India Value Fund - IDCW ,2009-01-01,2022-10-07
100498,Franklin India Dynamic Accrual Fund - IDCW ,2009-01-01,2022-08-07
100499,Franklin India Dynamic Accrual Fund-Growth,2009-01-01,2022-08-07
100503,Franklin India Low Duration Fund - Monthly - IDCW,2009-01-01,2022-08-07
100504,Franklin India Low Duration Fund - Quarterly - IDCW,2009-01-01,2022-08-07
100505,Templeton Monthly Income Plan-Half Yearly Dividend,2009-01-01,2010-03-22
100506,Templeton Monthly Income Plan-Growth,2009-01-01,2010-03-22
100519,Franklin India Flexi Cap Fund - IDCW ,2009-01-01,2022-10-07
100520,Franklin India Flexi Cap Fund - Growth,2009-01-01,2022-10-07
100521,Franklin India Technology Fund - IDCW ,2009-01-01,2022-10-06
100522,Franklin India Technology Fund-Growth,2009-01-01,2022-10-06
100523,Franklin FMCG Fund - Growth,2009-01-01,2011-09-12
100524,Franklin INDIA OPPORTUNITIES FUND - IDCW ,2009-01-01,2022-10-07
100525,Franklin India TAXSHIELD - IDCW ,2009-01-01,2022-10-07
100526,Franklin India Taxshield-Growth,2009-01-01,2022-10-07
100527,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,2009-01-01,2022-10-07
100528,Franklin India Corporate Debt Fund - Growth,2009-01-01,2022-10-07
100529,Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,2009-01-01,2022-10-07
100530,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,2009-01-01,2022-10-07
100531,Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,2009-01-01,2022-10-07
100532,Franklin India Corporate Debt Fund - Monthly Bonus,2009-01-01,2015-06-05
100535,Franklin India Pension Plan - IDCW ,2009-01-01,2022-10-07
100536,Franklin India Pension Plan-Growth,2009-01-01,2022-10-07
100537,Franklin India Liquid Fund - Regular Plan - Weekly - IDCW,2009-01-01,2022-10-07
100538,Franklin India Liquid Fund - Regular Plan - Growth,2009-01-01,2022-10-08
100541,Franklin India Liquid Fund - Regular Plan - Daily - IDCW,2009-01-01,2022-10-07
100542,Franklin India Liquid Fund - Liquid Plan - Weekly Dividend,2009-01-01,2011-09-05
100543,Franklin India Liquid Fund - Liquid Plan - Daily IDCW,2009-01-01,2011-09-05
100544,Franklin India Liquid Fund - Liquid Plan - Growth,2009-01-01,2011-09-05
100546,Franklin India Liquid Fund - Super Institutional Plan - Growth,2009-01-01,2022-10-08
100547,Franklin India Liquid Fund - Super Institutional Plan - Daily - IDCW,2009-01-01,2022-10-07
100548,Franklin India Liquid Fund - Super Institutional Plan - Weekly - IDCW,2009-01-01,2022-10-07
100549,Franklin India Equity Hybrid Fund - IDCW ,2009-01-01,2022-10-07
100550,Franklin India Equity Hybrid Fund - Growth Plan,2009-01-01,2022-10-07
100551,Templeton India Children’s Asset Plan-Education Plan,2009-01-01,2014-08-11
100552,Templeton India Children’s Asset Plan-Gift Plan - Growth,2009-01-01,2014-08-11
100553,Templeton India Children’s Asset Plan-Gift Plan - Dividend,2009-01-01,2014-08-11
100558,Franklin India Taxshield 99,2009-01-01,2009-04-01
100561,Templeton India Money Market Account - Bonus Plan,2009-01-01,2010-10-22
100563,DBS Chola Triple Ace-Regular -Cumulative,2009-01-01,2010-02-15
100567,DBS Chola Triple Ace-Regular - Quarterly Dividend,2009-01-01,2010-02-15
100569,DBS Chola Triple Ace-Semi Annual Dividend,2009-01-01,2010-02-15
100573,DBS Chola Triple Ace-Regular Bonus,2009-01-01,2010-02-15
100574,DBS Chola Freedom Income -Short Term Fund-Regular-Monthly Dividend,2009-01-01,2010-02-15
100575,DBS Chola Freedom Income -Short Term Fund-Regular - Cumulative,2009-01-01,2010-02-15
100576,DBS Chola Freedom Income -Short Term Fund-Cum- Institutional Plan,2009-01-01,2010-02-15
100579,DBS Chola Gilt-Investment-Quarterly Dividend,2009-01-01,2010-02-15
100580,DBS Chola Gilt-Investment-Cumulative,2009-01-01,2010-02-15
100593,CANARA ROBECO EQUITY TAX SAVER FUND - REGULAR PLAN -IDCW (Payout),2009-01-01,2022-10-07
100596,CANARA ROBECO GILT FUND - REGULAR PLAN - IDCW (Payout/Reinvestment),2009-01-01,2022-10-07
100597,CANARA ROBECO GILT FUND - REGULAR PLAN - GROWTH OPTION,2009-01-01,2022-10-07
100600,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - MONTHLY IDCW (Payout/Reinvestment),2009-01-01,2022-10-07
100601,CANARA ROBECO CONSERVATIVE HYBRID FUND - REGULAR PLAN - GROWTH OPTION,2009-01-01,2022-10-07
100602,Sundaram Medium Term Bond Fund Regular Plan- Quarterly Income Distribution cum Capital Withdrawal (IDCW),2009-01-01,2022-10-07
100603,Sundaram Medium Term Bond Fund Regular Plan - Growth,2009-01-01,2022-10-07
100604,Sundaram Medium Term Bond Fund Regular Plan - Bonus,2009-01-01,2022-10-07
