Scheme Code,Scheme Name,Net Asset Value,Date,Duration Days
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.2113,2013-07-23,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.2156,2013-07-24,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.2199,2013-07-25,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.2249,2013-07-26,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.2348,2013-07-28,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.2401,2013-07-29,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.2453,2013-07-30,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.2506,2013-07-31,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0369,2013-06-02,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0405,2013-06-03,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0441,2013-06-04,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0477,2013-06-05,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0514,2013-06-06,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.055,2013-06-07,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0622,2013-06-09,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0658,2013-06-10,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0693,2013-06-11,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0728,2013-06-12,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0764,2013-06-13,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0799,2013-06-14,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0868,2013-06-16,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0903,2013-06-17,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0939,2013-06-18,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0975,2013-06-19,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1011,2013-06-20,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1047,2013-06-21,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1119,2013-06-23,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1155,2013-06-24,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1189,2013-06-25,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1225,2013-06-26,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.126,2013-06-27,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.1295,2013-06-28,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6753,2013-03-01,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6829,2013-03-03,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6867,2013-03-04,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6905,2013-03-05,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6943,2013-03-06,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.6982,2013-03-07,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.702,2013-03-08,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.7095,2013-03-10,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.7132,2013-03-11,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.717,2013-03-12,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.7208,2013-03-13,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.7247,2013-03-14,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.7286,2013-03-15,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.7363,2013-03-17,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.7402,2013-03-18,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.744,2013-03-19,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.7478,2013-03-20,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.7516,2013-03-21,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.7555,2013-03-22,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.763,2013-03-24,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.7668,2013-03-25,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.771,2013-03-26,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.7752,2013-03-27,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.7826,2013-03-28,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9222,2013-05-01,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9259,2013-05-02,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9296,2013-05-03,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9369,2013-05-05,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9405,2013-05-06,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9441,2013-05-07,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9478,2013-05-08,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9514,2013-05-09,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.955,2013-05-10,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.962,2013-05-12,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9656,2013-05-13,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9692,2013-05-14,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9728,2013-05-15,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9765,2013-05-16,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9801,2013-05-17,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9871,2013-05-19,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9907,2013-05-20,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9943,2013-05-21,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,18.9979,2013-05-22,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0014,2013-05-23,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.005,2013-05-24,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0121,2013-05-26,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0157,2013-05-27,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0193,2013-05-28,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.023,2013-05-29,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0263,2013-05-30,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.0299,2013-05-31,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7123,2013-11-01,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7258,2013-11-04,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7297,2013-11-05,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7337,2013-11-06,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7381,2013-11-07,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7426,2013-11-08,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7516,2013-11-10,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7561,2013-11-11,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7606,2013-11-12,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7651,2013-11-13,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7695,2013-11-14,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7828,2013-11-17,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7873,2013-11-18,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7918,2013-11-19,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.7964,2013-11-20,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8009,2013-11-21,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8053,2013-11-22,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8142,2013-11-24,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8187,2013-11-25,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8232,2013-11-26,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8277,2013-11-27,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8321,2013-11-28,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.8356,2013-11-29,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5686,2013-10-01,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5736,2013-10-02,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5786,2013-10-03,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5836,2013-10-04,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5935,2013-10-06,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.5985,2013-10-07,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6032,2013-10-08,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.608,2013-10-09,2
119110,HDFC Overnight Fund - Growth Option - Direct Plan,19.6127,2013-10-10,2
